MOUSE ID,B1,B2,B3,L1,L2,L3,D1,D2,D3
541,0,0,0,180,180,180,0,0,0
542,0,8,2,180,13,102,0,5.375,2
543,2,10,2,151,1,15,5.5,4.9,2
544,5,8,6,130,17,15,4,4.625,2.166666667
545,0,8,9,180,3,1,0,5.25,2.333333333
546,0,0,0,180,180,180,0,0,0
547,0,8,0,180,3,180,0,5.125,0
548,0,1,1,180,1,3,0,2,1
549,0,8,2,180,1,75,0,4.375,1
550,0,0,0,180,180,180,0,0,0
551,1,6,5,155,1,104,8,3.666666667,3.8
552,0,0,2,180,180,66,0,0,3.5
553,0,9,5,180,1,18,0,3.777777778,3
554,0,9,3,180,24,16,0,4,3.333333333
555,8,7,1,30,2,2,8.125,9.714285714,15
556,0,3,2,180,10,158,0,7.666666667,2.5
557,0,7,8,180,27,1,0,5.857142857,3.875
558,0,4,1,180,72,21,0,5,8
559,1,7,6,179,1,5,3,7.571428571,2.166666667
560,7,7,10,127,5,4,4.714285714,13.57142857,6.1
561,0,4,0,180,34,180,0,10.66666667,0
562,0,1,3,180,30,87,0,3,2
563,0,3,0,180,128,180,0,7.333333333,0
564,3,5,5,168,24,1,3.5,2.2,3.6
565,0,3,15,180,60,14,0,7.5,5.733333333
566,3,4,14,111,1,1,9,5.75,4.307692308
567,5,8,14,53,3,6,5.2,5.875,5.642857143
568,0,3,5,180,15,83,0,2.333333333,1
569,1,2,11,140,17,20,3,2.5,2.363636364
570,7,9,1,50,9,72,4,4.888888889,2
571,0,12,11,180,33,4,0,3.916666667,3.545454545
572,0,8,3,180,33,16,0,2.25,2.666666667
573,0,16,8,180,13,15,0,2.5625,3.125
574,0,0,0,180,180,180,0,0,0
575,4,5,5,136,1,76,2.75,2.6,3.8
576,0,0,6,180,180,8,0,0,6
577,1,5,7,7,1,4,2,4,5.142857143
578,0,18,12,180,16,20,0,5.166666667,7.363636364
579,0,9,6,180,1,1,0,6.111111111,3.4
